,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durability,Rare Type,Defence,Magic Resistance,Male Hair,Item Set,Dynamic EQ,Female Hair,Trade Key,Expire,NPC,Effect,Prefix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devil Wings,CAP\cap_Succubus2.txt,CAP\cap_Succubus2.txt,7,123,1000,0,2,63,5815,243,579,,,,,,,,,,,,,11,6,,23,25,25,,10,10,0,,,0,,,,,,LCAP1240
Poo Hat,CAP\cap1_poo.txt,CAP\cap2_poo.txt,7,123,1000,0,2,63,5816,243,579,,,,,,,,,,,,,11,6,,19,35,25,,10,10,2,,,2,,,,,,LCAP1241
Cloth Bag,CAP\CAP1_baghead.txt,CAP\CAP2_baghead.txt,7,123,1000,0,2,63,5817,243,579,,,,,,,,,,,,,13,6,,19,18,25,,10,10,4,,,4,,,,,,LCAP1242
Skull Cap,CAP\CAP1_skullcap.txt,CAP\CAP2_skullcap.txt,7,123,1000,0,2,63,5818,243,579,,,,,,,,,,,,,12,6,,18,35,25,,10,10,4,,,4,,,,,,LCAP1243
Dragon Head,CAP\CAP1_dragon_head.txt,CAP\CAP2_dragon_head.txt,7,123,1000,0,3,63,5819,243,579,,,,,,,,,,,,,10,6,,26,25,25,,10,10,4,,,4,,,,,,LCAP1244
Drinking Hat,CAP\CAP1_potionHat_2.txt,CAP\CAP2_potionHat_2.txt,7,123,1000,0,3,63,5820,243,579,,,,,,,,,,,,,16,250,,17,100,25,,10,10,2,,,2,,,,,,LCAP1245
Mop Hat,CAP\CAP1_mopHead_4.txt,CAP\CAP2_mopHead_4.txt,7,123,1000,0,3,63,5821,243,579,,,,,,,,,,,,,15,6,,18,12,25,,10,10,4,,,4,,,,,,LCAP1246
Cute Bunny Cap,CAP\cap1_bunnybeanie.txt,CAP\cap2_bunnybeanie.txt,7,123,1000,0,3,63,5822,247,579,,,,200,,,,,,,,,12,6,,23,22,25,,10,10,2,,,2,,,,,,LCAP1247
Paper Bag,CAP\cap1_paperbag.txt,CAP\cap2_paperbag.txt,7,123,1000,0,1,63,5796,247,579,,,,200,,,,,,,,,22,18,,26,20,25,,10,10,4,,,4,,,,,,LCAP1248
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeping Cap Black,CAP\cap_Sleeping_Black.txt,CAP\cap_Sleeping_Black.txt,7,123,1000,0,3,25,5824,243,579,,,,,,,,,,,,,13,6,,20,25,25,,10,10,2,,,2,,,,,,LCAP1255
Sleeping Cap Blue,CAP\cap_Sleeping_Blue.txt,CAP\cap_Sleeping_Blue.txt,7,123,1000,0,3,25,5825,243,579,,,,,,,,,,,,,13,6,,20,25,25,,10,10,2,,,2,,,,,,LCAP1256
Sleeping Cap Green,CAP\cap_Sleeping_Green.txt,CAP\cap_Sleeping_Green.txt,7,123,1000,0,3,25,5826,243,579,,,,,,,,,,,,,13,6,,20,25,25,,10,10,2,,,2,,,,,,LCAP1257
Sleeping Cap Orange,CAP\cap_Sleeping_Orange.txt,CAP\cap_Sleeping_Orange.txt,7,123,1000,0,3,25,5827,243,579,,,,,,,,,,,,,13,6,,20,25,25,,10,10,2,,,2,,,,,,LCAP1258
Sleeping Cap Pink,CAP\cap_Sleeping_Pink.txt,CAP\cap_Sleeping_Pink.txt,7,123,1000,0,3,25,5828,243,579,,,,,,,,,,,,,13,6,,20,25,25,,10,10,2,,,2,,,,,,LCAP1259
Sleeping Cap White,CAP\cap_Sleeping_White.txt,CAP\cap_Sleeping_White.txt,7,123,1000,0,3,25,5829,243,579,,,,,,,,,,,,,13,6,,20,25,25,,10,10,2,,,2,,,,,,LCAP1260
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanabata Cap,CAP\tanabata_cap_m_0620_cr.txt,CAP\tanabata_cap_f_0620_cr.txt,,123,1000,0,2,100,5837,243,579,,,,,,,,,,,,,13,5,,14,25,25,,5,5,4,,,4,,,,,,LCAP1270
Ra's Head Gear,CAP\gob_head_dark_black_0713_cr.txt,CAP\gob_head_dark_black_0713_cr.txt,,123,1000,0,2,12,5838,243,579,,,,,,,,,,,,,10,5,,15,4,25,,36,10,4,,,4,,,,,,LCAP1271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Flowered Mini Cap,CAP\minisilkhat_f_black_1116_cr.txt,CAP\minisilkhat_f_black_1116_cr.txt,6,123,1000,0,2,100,5839,,579,,,,,,,,,,,,,14,10,,,,25,,2,1,0,,,0,,,,,,LCAP1275
White Mini Cap,CAP\minisilkhat_f_white_1130_mu.txt,CAP\minisilkhat_f_white_1130_mu.txt,6,123,1000,0,2,100,5840,,579,,,,,,,,,,,,,14,10,,,,25,,2,1,0,,,0,,,,,,LCAP1276
Rose Flowered Mini Cap,CAP\minisilkhat_m_red&black_0126_cr.txt,CAP\minisilkhat_f_red&black_0126_cr.txt,6,123,1000,0,2,100,5841,,579,,,,,,,,,,,,,14,10,,,,25,,2,1,0,,,0,,,,,,LCAP1277
Grey Flowered Mini Cap,CAP\minisilkhat_m_white&black_0126_cr.txt,CAP\minisilkhat_f_white&black_0126_cr.txt,6,123,1000,0,2,100,5842,,579,,,,,,,,,,,,,14,10,,,,25,,2,1,0,,,0,,,,,,LCAP1278
Pink Flowered Mini Cap,CAP\minisilkhat_f_dot_blackpink_0209_cr.txt,CAP\minisilkhat_f_dot_blackpink_0209_cr.txt,6,123,1000,0,2,100,5843,,579,,,,,,,,,,,,,14,10,,,,25,,2,1,0,,,0,,,,,,LCAP1279
Pink Mini Cap,CAP\minisilkhat_f_pinkbrown_0209_cr.txt,CAP\minisilkhat_f_pinkbrown_0209_cr.txt,6,123,1000,0,2,100,5844,,579,,,,,,,,,,,,,14,10,,,,25,,2,1,0,,,0,,,,,,LCAP1280
Golden Flowered Mini Cap,CAP\minisilkhat_f_leopardblack_0209_cr.txt,CAP\minisilkhat_f_leopardblack_0209_cr.txt,6,123,1000,0,2,100,5845,,579,,,,,,,,,,,,,14,10,,,,25,,2,1,0,,,0,,,,,,LCAP1281
Red Flowered Mini Cap,CAP\minisilkhat_f_redblack_0209_cr.txt,CAP\minisilkhat_f_redblack_0209_cr.txt,6,123,1000,0,2,100,5846,,579,,,,,,,,,,,,,14,10,,,,25,,2,1,0,,,0,,,,,,LCAP1282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Doggy Head Gear,CAP\ochaken_aru_cap_0810_cr.txt,CAP\ochaken_aru_cap_0810_cr.txt,7,123,1000,0,3,10,5850,243,579,,,,,,,,,,,,,14,10,,,,25,,32,15,4,,,4,,,,,,LCAP1290
Braided Doggy Head Gear,CAP\ochaken_cafe_cap_0810_cr.txt,CAP\ochaken_cafe_cap_0810_cr.txt,7,123,1000,0,3,10,5851,243,579,,,,,,,,,,,,,14,10,,,,25,,32,15,4,,,4,,,,,,LCAP1291
Plain Doggy Head Gear,CAP\ochaken_chai_cap_0810_cr.txt,CAP\ochaken_chai_cap_0810_cr.txt,7,123,1000,0,3,10,5852,243,579,,,,,,,,,,,,,14,10,,,,25,,32,15,4,,,4,,,,,,LCAP1292
Pink Doggy Head Gear,CAP\ochaken_hana_cap_0810_cr.txt,CAP\ochaken_hana_cap_0810_cr.txt,7,123,1000,0,3,10,5853,243,579,,,,,,,,,,,,,14,10,,,,25,,32,15,4,,,4,,,,,,LCAP1293
Golden Doggy Head Gear,CAP\ochaken_muha_cap_0810_cr.txt,CAP\ochaken_muha_cap_0810_cr.txt,7,123,1000,0,3,10,5854,243,579,,,,,,,,,,,,,14,10,,,,25,,32,15,4,,,4,,,,,,LCAP1294
Black Doggy Head Gear,CAP\ochaken_ron_cap_0810_cr.txt,CAP\ochaken_ron_cap_0810_cr.txt,7,123,1000,0,3,10,5855,243,579,,,,,,,,,,,,,14,10,,,,25,,32,15,4,,,4,,,,,,LCAP1295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink Cat Head Gear,CAP\cat_head_pink_0612_cr.txt,CAP\cat_head_pink_0612_cr.txt,7,123,1000,0,3,10,5858,243,579,,,,,,,,,,,,,11,3,,14,10,25,,32,15,4,,,4,,,,,,LCAP1300
White Cat Head Gear,CAP\cat_head_gray_0627_cr.txt,CAP\cat_head_gray_0627_cr.txt,7,123,1000,0,3,10,5859,243,579,,,,,,,,,,,,,11,3,,14,10,25,,32,15,4,,,4,,,,,,LCAP1301
Black Cat Head Gear,CAP\cat_head_buchi_0816_cr.txt,CAP\cat_head_buchi_0816_cr.txt,7,123,1000,0,3,10,5860,243,579,,,,,,,,,,,,,11,3,,14,10,25,,32,15,4,,,4,,,,,,LCAP1302
Golden Cat Head Gear,CAP\cat_head_mike_0816_cr.txt,CAP\cat_head_mike_0816_cr.txt,7,123,1000,0,3,10,5861,243,579,,,,,,,,,,,,,11,3,,14,10,25,,32,15,4,,,4,,,,,,LCAP1303
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Twintail Wig,CAP\shortlayer_black.txt,CAP\shortlayer_black.txt,7,123,100,0,2,10,7492,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1305
Gold Twintail Wig,CAP\shortlayer_black.txt,CAP\shortlayer_black.txt,7,123,100,0,2,10,7493,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1306
Green Twintail Wig,CAP\shortlayer_black.txt,CAP\shortlayer_black.txt,7,123,100,0,2,10,7494,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1307
Purple Twintail Wig,CAP\shortlayer_black.txt,CAP\shortlayer_black.txt,7,123,100,0,2,10,7495,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1308
Red Twintail Wig,CAP\shortlayer_black.txt,CAP\shortlayer_black.txt,7,123,100,0,2,10,7496,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1309
Blue Long Ponytail Wig,CAP\shortlayer_black.txt,CAP\shortlayer_black.txt,7,123,100,0,2,10,7497,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1310
Gold Long Ponytail Wig,CAP\shortlayer_black.txt,CAP\shortlayer_black.txt,7,123,100,0,2,10,7498,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1311
Green Long Ponytail Wig,CAP\shortlayer_black.txt,CAP\shortlayer_black.txt,7,123,100,0,2,10,7499,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1312
Silver Long Ponytail Wig,CAP\shortlayer_black.txt,CAP\shortlayer_black.txt,7,123,100,0,2,10,7501,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1313
Pink Long Ponytail Wig,CAP\shortlayer_black.txt,CAP\shortlayer_black.txt,7,123,100,0,2,10,7502,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1314
Purple Long Ponytail Wig,CAP\shortlayer_black.txt,CAP\shortlayer_black.txt,7,123,100,0,2,10,7503,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1315
Red Long Ponytail Wig,CAP\shortlayer_black.txt,CAP\shortlayer_black.txt,7,123,100,0,2,10,7504,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1316
Twinroll Wig,CAP\shortlayer_black.txt,CAP\shortlayer_black.txt,7,123,100,0,2,10,7505,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1317
Green Twinroll Wig,CAP\shortlayer_black.txt,CAP\shortlayer_black.txt,6,123,100,0,2,10,7506,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1318
Pink Twinroll Wig,CAP\shortlayer_black.txt,CAP\shortlayer_black.txt,6,123,100,0,2,10,7507,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1319
Black Long Ponytail Wig,CAP\shortlayer_black.txt,CAP\shortlayer_black.txt,7,123,100,0,2,10,7563,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1320
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger Head Gear,CAP\tiger_head.txt,CAP\tiger_head.txt,7,123,1000,0,3,10,8244,243,579,,,,,,,,,,,,,14,10,,,,25,,32,15,4,,,4,,,,,,LCAP1322
Snake Head Gear,CAP\snake_hat.txt,CAP\snake_hat.txt,7,123,1000,0,3,10,8245,243,579,,,,,,,,,,,,,14,10,,,,25,,32,15,4,,,4,,,,,,LCAP1323
Horse Head Gear,CAP\horse_hat.txt,CAP\horse_hat.txt,7,123,1000,0,3,10,8246,243,579,,,,,,,,,,,,,14,10,,,,25,,32,15,4,,,4,,,,,,LCAP1324
Monkey Head Gear,CAP\monkey_hat.txt,CAP\monkey_hat.txt,7,123,1000,0,3,10,8247,243,579,,,,,,,,,,,,,14,10,,,,25,,32,15,4,,,4,,,,,,LCAP1325
Chicken Head Gear,CAP\chicken_hat.txt,CAP\chicken_hat.txt,7,123,1000,0,3,10,8248,243,579,,,,,,,,,,,,,14,10,,,,25,,32,15,4,,,4,,,,,,LCAP1326
Boar Head Gear,CAP\boar_hat.txt,CAP\boar_hat.txt,7,123,1000,0,3,10,8249,243,579,,,,,,,,,,,,,14,10,,,,25,,32,15,4,,,4,,,,,,LCAP1327
Twinroll Wig,,,7,123,100,0,2,10,3623,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1328
Twinroll Wig,,,7,123,100,0,2,10,3624,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1329
Twinroll Wig,,,7,123,100,0,2,10,3625,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1330
Twinroll Wig,,,7,123,100,0,2,10,3627,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1331
Twinroll Wig,,,7,123,100,0,2,10,3628,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1332
Aqua Long Ponytail Wig,,,7,123,100,0,2,10,5008,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1333
Blonde Long Ponytail Wig,,,7,123,100,0,2,10,5009,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1334
Ginger Long Ponytail Wig,,,7,123,100,0,2,10,5028,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1335
Lilac Long Ponytail Wig,,,7,123,100,0,2,10,5054,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1336
Brown Long Ponytail Wig,,,7,123,100,0,2,10,9499,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1337
Black Zuisho Wig,,,6,123,1000,0,1,10,9729,243,579,,,,,,,,,,,,,,,,,,30,,12,10,4,,,4,,,,,,LCAP1338
Purple Zuisho Wig,,,6,123,1000,0,1,10,9730,243,579,,,,,,,,,,,,,,,,,,30,,12,10,4,,,4,,,,,,LCAP1339
Red Zuisho Wig,,,6,123,1000,0,1,10,9731,243,579,,,,,,,,,,,,,,,,,,30,,12,10,4,,,4,,,,,,LCAP1340
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halloween Diamond Gear,CAP\vampire_cap_m_orange_20241017.txt,CAP\vampire_cap_f_orange_20241017.txt,6,123,1000,0,2,14,9849,243,579,,,,,,,,,,,,,,,,,,30,,10,10,4,,,4,,,,,,LCAP1342
Yellow Stylish Rabbit Hat,CAP\bunny_cap_m_yellow_20230921.txt,CAP\bunny_cap_f_yellow_20230921.txt,6,123,1000,0,3,24,9941,243,579,93,1,1832,1,,,,,,,,,,,,,,30,10,10,10,4,,,4,,,,,,LCAP1343
Blue Stylish Rabbit Hat,,,6,123,1000,0,3,24,10160,243,579,93,1,1832,1,,,,,,,,,,,,,,30,10,10,10,4,,,4,,,,,,LCAP1344
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rabid Chicken Plate Helm,,,6,123,100,0,1,50,6372,239,580,,,,,,,,,,,,,,,,,,75,,10,10,2,,,2,,,,,,LCAP1399
?s?G???X?q,CAP\cap_soui_m.txt,CAP\cap_soui_f.txt,,123,66465,0,2,62,6331,239,579,,,,,,,,,,,,,15,1,,26,4,54,,85,29,2,,,2,,,,,,LCAP1400
?s?G????E?C?????l???X?q?B,CAP\cap_tyuui_m.txt,CAP\cap_tyuui_f.txt,,123,66465,0,2,61,6332,239,579,,,,,,,,,,,,,15,2,,26,6,54,,97,32,2,,,2,,,,,,LCAP1401
?????s?G???X?q,CAP\cap_taii_m.txt,CAP\cap_taii_f.txt,,123,66465,0,2,61,6333,239,579,,,,,,,,,,,,,15,3,,26,7,54,,110,36,2,,,2,,,,,,LCAP1402
,,CAP\lv210_artisanhead_f_red_0208_cr.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infinity Void Helm,CAP\lv210_knighthead_m_white_0208_cr.txt,CAP\lv210_knighthead_f_white_0208_cr.txt,6,121,274200,0,13,67,6340,227,580,,,,,61,,,,,,,,,,,,,61,,182,44,4,,,4,,,,,,LCAP1404
Great Berserker Helm,CAP\lv210_champhead_m_black_0208_cr.txt,CAP\lv210_champhead_f_black_0208_cr.txt,6,121,274200,0,7,67,6341,227,580,,,,,62,,,,,,,,,,,,,61,,176,44,4,,,4,,,,,,LCAP1405
New Illuminated Cap,CAP\lv210_clerichandhead_m_white_0208_cr.txt,CAP\lv210_clerichandhead_f_white_0208_cr.txt,6,122,248900,0,2,77,6338,235,579,,,,,64,,,,,,,,28,7,,,,59,,172,57,2,,,2,,,,,,LCAP1406
Fierce Calvary Cap,CAP\lv210_magicinhead_m_0208_cr.txt,CAP\lv210_magicinhead_f_0208_cr.txt,6,122,248900,0,2,77,6339,235,579,,,,,63,,,,,,,,29,3,,,,59,,174,57,2,,,2,,,,,,LCAP1407
Crimson Hunter Cap,CAP\lv210_Scouthead_m_red_0208_cr.txt,CAP\lv210_Scouthead_f_red_0208_cr.txt,6,123,274200,0,2,82,6336,231,579,,,,,66,,,,,,,,,,,,,60,,172,49,2,,,2,,,,,,LCAP1408
Enraged Hunter Cap,CAP\lv210_ladarhead_m_0208_cr.txt,CAP\lv210_ladarhead_f_0208_cr.txt,6,123,274200,0,2,82,6337,231,579,,,,,65,,,,,,,,,,,,,60,,176,49,2,,,2,,,,,,LCAP1409
Ruthless Financier Hat,CAP\lv210_bourgeoishead_m_0208_cr.txt,CAP\lv210_bourgeoishead_f_blond_0208_cr.txt,6,123,264300,0,2,79,6334,239,579,,,,,67,,,,,,,,,,,,,58,,173,51,4,,,4,,,,,,LCAP1410
Empathic Craftsman Hat,CAP\lv210_artisanhead_m_red_0208_cr.txt,CAP\lv210_artisanhead_f_red_0208_cr.txt,6,123,264300,0,2,79,6335,239,579,,,,,68,,,,,,,,,,,,,58,,170,51,4,,,4,,,,,,LCAP1411
?n???^?[?n?b?g,CAP\cap_F1013.txt,CAP\cap_F1013.txt,,123,1000,0,2,100,6342,243,579,,,,,,,,,,,,,12,5,,14,20,100,,14,24,0,,,0,,,,,,LCAP1412
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer Fashion Hat,,,6,123,100,0,2,10,2750,243,579,,,,,,,,,,,,,,,,,,30,,12,8,4,,,4,,,,,,LCAP1427
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
