,,,12:????,,,,,10:????,,,11:????,,,01~06:??????,,,08~09:????,,07:??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?????? ??????(????),11402,8041,11402,8111,8438,8140,11402,8212,8241,8268,8311,8410,,5434,4333,3634,2632,8735,8512,8542,8565,8679,8709,8799,8858,8832,8586,8619,8773,8650,,,,,,,,,,,,,,,,,,,,
?????? ????(????),8410,11403,8311,11403,8242,8212,8172,8140,11403,8042,8066,8111,8438,4434,3333,2733,5534,8514,8544,8566,8735,8774,8652,8588,8679,8709,8833,8858,8800,8620,5533,5533,,,,,,,,,,,,,,,,,,
Behemoth King (Unique),8042,8066,8111,8438,4434,3334,2733,5534,8514,8544,8566,8735,8774,8902,8910,8984,8903,8985,,8961,8942,8954,8934,8969,,8928,8977,8993,12231,,,,,,,,,,,,,,,,,,,,,
"????(????,????????)",12194,12264,12194,12264,12194,12264,12194,12264,12194,12264,12194,12264,12194,12264,12194,12264,12194,12153,12154,,,1,2,3,3,2,1,4,4,4,4545,2067,3037,5445,4445,2037,4037,3067,5037,2097,5127,4648,5545,2748,3097,11301,11311,11321,11331,11351
Basilisk Captain,12194,12265,12194,12265,12194,12265,12161,12162,12163,12164,12161,8001278,8001279,,,11331,11341,11361,1,2,3,2,1,2,3,2,1,4,4,4,8410,8338,8313,8143,8272,8214,8016,8114,8344,8045,8442,,8414,8069,8243,8621,8654,8680,8737,8800
Devil Pest Slag,12193,12063,12161,12194,12162,12161,12064,12114,12115,12163,12142,12194,12193,12065,12193,12142,12164,,12193,,12064,12164,12194,12193,12194,10431,12161,12162,12163,12164,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4 seal 152,,12381,,8865,8182,8072,8323,8223,8844,8422,8353,8806,8783,8745,8718,8150,8450,8686,8123,8662,8423,8324,8628,8595,8181,8224,8054,8553,8524,6794,,,,,,,,,,,,,,,,,,,,
ruper wizard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4 seal 160,,12381,8866,8845,8182,8072,8323,8223,8807,8422,8353,8785,8784,8746,8719,8150,8450,8687,8123,8663,8423,8324,8629,8596,8181,8224,8054,8554,8525,6794,,,,,,,,,,,,,,,,,,,,
??????,,,8267,,8065,8010,8210,8108,8339,8267,8408,8137,,8039,8169,8309,8436,8239,8794,8823,8704,8853,8534,8643,8643,,8764,8732,8615,8503,,,,,,,,,,,,,,,,,,,,
??????,,,8239,8267,8339,8438,,8410,8210,8065,8267,8170,8011,8310,8110,8138,,8040,8706,,8585,8856,8537,8564,8796,8507,8537,8827,8676,,,,,,,,,,,,,,,,,,,,,
??????,,,8411,,8042,8140,8341,8269,8111,8067,8013,,8439,8172,8311,,8241,8212,8831,8649,8564,8771,8735,8678,8541,8585,,8511,8798,8618,,,,,,,,,,,,,,,,,,,,
??????,,,,8312,8242,8412,8173,8440,8014,8342,,8270,8141,8799,8068,8043,8112,8213,8832,8773,8735,8512,8542,8565,8586,8619,8650,8679,8709,6794,,,,,,,,,,,,,,,,,,,,
??????,,,8272,,8143,8114,8313,8016,8069,8344,,8442,8414,8620,8045,8243,8182,8214,8544,8566,8735,8774,8652,8588,8679,8709,8833,8858,8800,6794,,,,,,,,,,,,,,,,,,,,
Seal Stone T3,8045,8016,8244,8069,8344,8143,8414,8175,8215,8836,8442,8272,8314,8860,2548,3347,4548,5647,8589,8567,8775,8653,8545,8516,8738,8681,8621,8802,8711,6794,,,,,,,,,,,,,,,,,,,,
?????? ????,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,10010,10029,12282,4069,12282,5129,3039,2099,12152,12161,8179,8318,8049,,,,4460,4460,5460,5460,2662,2662,,,,,,,,,,,,,,
?????? ????,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,10010,10029,12282,3069,12282,4129,2039,5099,12151,8418,8347,8276,8422,,,,3460,3460,,,,,,,,,,,,,,,,,,
Sikuku Tiger Captain,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,,8001288,10029,12282,12155,11322,12161,2069,3129,5039,4099,8248,8219,8119,8020,8323,8351,2560,2560,4554,4554,,,,,,,,,,,,,,,,
Thorn Hound King,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,14866,4327,4427,4527,4627,12153,12151,12193,12113,12193,12113,14866,,,,,,,,,,,,,,,,,,,,
??????,12119,12120,12114,12079,12079,12080,12065,12081,12078,12079,12066,12080,12082,12081,12067,12082,12065,12080,12081,12161,10308,12161,,10316,,1,3,2,2,4,8704,8615,8534,8503,8011,8040,8065,8109,8138,8210,2016,3016,4016,5016,3016,4016,5125,4035,2065,3095
??????,12118,12124,12115,12080,12081,12066,12080,12082,12083,12081,12067,12080,12082,12084,12081,12068,12066,12082,12083,12162,10309,12162,,10317,,1,3,2,2,4,8564,8507,8537,8827,8212,8269,8341,8111,8140,8172,2016,4016,3125,4095,5035,2065,3095,4035,2125,5065
??????,12125,12129,12130,12082,12082,12067,12081,12083,12066,12084,12068,12083,12067,12085,12082,12083,12084,12069,12086,12163,10310,12163,,10318,,1,3,2,2,4,8175,8344,8272,8442,8215,8016,8215,8271,8343,8016,3125,4095,5035,2065,3095,4035,4036,5096,2126,3066
??????,12136,12130,12082,12083,12082,12083,12067,12084,12067,12068,12087,12068,12086,12086,12069,12109,12084,12087,12085,12164,10311,12164,12109,12109,12084,12083,12109,12083,12085,12085,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varus,3541,5541,5441,4441,6292,3341,4341,3641,4641,5641,2640,2526,2440,2733,6292,12116,12118,12381,12381,12381,12143,12144,12142,12129,12130,12128,12084,12153,12152,6292,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12135,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??????1,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,10010,10029,12161,12162,12163,12164,7251,12199,7008,,1,2,3,3,2,4,8018,8116,8217,8246,8316,8416,8047,8145,8274,8346,,,,,,,,,,
??????2,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,10010,10029,12161,12162,12163,12164,7261,,7088,,1,2,3,3,2,4,8020,8049,8118,8147,8179,,,,,,,,,,,,,,,
??????1,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,10010,10029,12161,12162,12163,12164,7251,,7008,,1,2,3,3,2,4,8018,8116,8217,8246,8316,8416,8047,8145,8274,8346,,,,,,,,,,
??????1,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,10010,10029,12161,12162,12163,12164,7251,,7008,,1,2,3,3,2,4,8018,8116,8217,8246,8316,8416,8047,8145,8274,8346,,,,,,,,,,
??????1,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,10010,10029,12161,12162,12163,12164,7251,,7008,,1,2,3,3,2,4,8018,8116,8217,8246,8316,8416,8047,8145,8274,8346,,,,,,,,,,
Pincer,12280,12280,12135,12280,12134,12280,12135,12280,12280,12280,12280,12280,12280,12280,10010,10029,12161,12162,12163,12164,8416,7011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pincer Queen,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,8001284,10010,10029,12161,12162,12163,12164,7091,12155,11303,11313,1,2,3,3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hook,12280,12280,12136,12280,12280,12137,12280,12170,12280,12137,12280,12280,12170,12136,10010,10029,12161,12162,12163,12164,7271,12170,7161,,12170,,,,,,,,,,,,,,,,,,,,,,,,,
King Hook,12280,12280,12280,12280,12170,12280,12280,12280,12170,12280,12280,12170,12280,11400,10010,10029,12161,12162,8001285,7020,12155,11323,11333,6050,1,2,3,12170,12170,12170,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
????????,12136,12279,12279,12279,12137,12279,12279,12137,12279,12279,12279,12279,12279,11400,10010,10029,12161,12162,12163,12164,12182,12182,12183,12183,12182,12182,12183,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?????? ????,12278,12278,12278,12278,12278,12278,12278,12278,12278,12278,12278,12278,12278,12278,10010,10029,12161,12162,12163,12164,,,7170,12152,1,2,3,3,2,4,8020,8049,8118,8147,8179,,,,,,,,,,,,,,,
,12282,12282,12282,12282,12282,12281,12282,12281,12282,12282,12282,,12282,,12282,12281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator,12280,12280,12134,12280,12280,12135,12280,12280,12280,12280,12280,12280,12280,12280,10010,10029,12161,12162,8001286,8001287,7091,12155,11303,11313,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?????? ????,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,10010,10029,,,,,11361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?????? ????,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,10010,10029,12161,12162,12163,12164,7261,7098,12154,11343,1,2,3,3,2,4,,,,,,,,,,,,,,,,,,,,
?????? ????,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,10010,10029,,,,,11352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikuku Veteran,12282,12282,12282,12282,12282,12282,12282,12282,12279,12279,12279,12152,8001379,8001380,10010,8001289,,,7022,12164,7251,12152,11373,8658,1,2,3,3,2,4,5362,,,,,,,,,,,,,,,,,,,
?????? ?????? ????,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,10010,10029,12162,,,,7261,,7102,,1,2,3,3,2,4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikuku Hunter,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,10010,10029,,,12163,,7271,,7172,,1,2,3,3,2,4,8071,8019,8117,8218,8247,,,,,,,,,,,,,,,
Sikuku Tracker,12282,12137,12282,12136,12282,12282,12136,12282,12282,12282,12282,12282,,12282,10010,10029,12154,4068,5128,12164,3038,2098,8178,8317,8048,,,,,11389,4455,4455,5652,5652,,,,,,,,,,,,,,,,
Sikuku Captain,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,10010,8001288,12282,12164,12282,12156,5069,2129,4039,3099,8446,8319,8147,,5101,11389,,,,,,,,,,,,,,,,,,,,
Sikuku Butcher,12282,12137,12282,12282,12137,12282,12282,12282,12282,12282,12282,12282,12282,12282,10010,10029,12153,12161,,,2070,3130,5040,4100,8249,8220,8119,8021,,11390,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?????? ??????,12137,12282,12282,12136,12282,12136,12282,12137,12282,12282,12282,12282,12282,12282,10010,10029,,12162,,,7251,3068,7024,4128,5098,8445,8318,8146,,2038,5098,5554,5554,,,,,,,,,,,,,,,,,
?????? ?????? ??????,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,10010,10029,,,12163,,7261,,7174,,1,2,3,3,2,4,2462,4362,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikuku Shaman,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,8001381,8001382,,,12163,,3068,3128,7103,2038,2098,8247,8218,8118,8019,,2752,2752,,,,,,,,,2761,2761,2761,4661,4661,4661,,,,
Sikuku Psychic,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,10010,8001286,8001287,,,,7261,5068,7104,2128,8417,8118,8275,,,4038,3098,,,,,,,,,,,,,,,,,,,
Elder Sikuku,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,8001291,8001290,12161,,12155,2071,3131,5041,4101,8253,8281,12281,12281,12281,12281,2403,4352,5352,,,,,,,,,,,,,,,,,,
Elder Sikuku,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,8001291,10029,8001290,,12155,2071,3131,5041,4101,8253,8281,12281,12281,12281,12281,2398,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turak,12381,8523,12152,8552,12153,8594,8001384,8627,12155,8661,12156,8685,12157,8717,8684,8743,8715,8782,8742,8805,8841,8842,8864,8863,8625,8592,8550,8521,8001383,6581,,,,,,,,,,,,,,,,,,,,
??????(????),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??????(????),,12281,12280,12278,12279,12279,12279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
???? ????????,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,10010,10029,12161,12162,12163,12164,,,7021,,1,2,3,3,2,4,8178,8275,8417,8146,8019,,,,,,,,,,,,,,,
???? ????????,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,10010,10029,12161,12162,12163,12164,,,7171,12155,1,2,3,3,2,4,8020,8049,8276,8318,8347,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotten Tree,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,10010,10029,12161,12162,12163,12164,12183,12183,12182,12182,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotten Elemental,12281,12281,12281,12281,12281,12281,12281,12281,12281,,,12281,12281,,10010,10029,12161,12162,12163,12164,2068,3128,5038,4098,7102,8417,8346,8275,12155,2555,2555,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12193,12193,12193,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12193,12193,12193,12134,12193,12135,12012,12012,12193,12011,12011,12194,12194,12194,12118,12113,12194,12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?????? ????,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,10010,10029,12282,4069,12282,5129,3039,2099,12152,12162,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikuku Gargoyle,12282,12282,12282,12136,12282,12282,12282,12282,12136,12282,12136,12282,12282,12282,10010,10029,12282,3071,12282,4129,2041,5099,12151,11312,2,1,2,5101,,,,,,,,,,,,,,,,,,,,,,
?????? ????,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,,10010,10029,12282,12155,12282,12161,2069,3129,5039,4099,,,,,,,,,,,,,,,,,,,,,,,,,,
,12282,12282,12282,,12282,12282,12282,12282,12282,12282,12282,12282,12282,10901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12282,12282,12282,,12282,12282,12282,12282,12282,12282,12282,12282,12282,10901,,,,,,,,,,,,,,,,,3367,4367,,,,,,,,,,,,,,,,,,
,12282,12282,12282,,12282,12282,12282,12282,12282,12282,12282,12282,12282,10901,,,,,,,,,,,,,,,,,4375,5375,,,,,,,,,,,,,,,,,,
Sikuku Elite Slaughter,12381,12067,12381,10901,10901,12066,12067,10901,12151,12282,12153,12282,12064,12068,11401,12085,12381,10901,12282,12007,1,1,2,3,2,4,3,1,,,2477,8052,5133,3043,2073,8152,8251,4103,12086,12087,4378,4378,5577,5577,4677,4677,5579,4678,3478,2477
Cursed Ant Vagabond,,11401,,10901,10901,12066,12067,10901,12155,12154,12069,12064,12282,12068,11401,12381,12381,10901,12086,12381,1,1,2,3,2,4,3,1,,,5677,3103,2133,5043,4073,8322,8421,8184,12087,12088,3377,3377,5478,5478,2677,5677,5678,5477,3378,2678
Sikuku Killer,12125,12061,12059,12060,12049,12050,12038,12008,12015,,,10026,10032,12161,12164,12162,2072,5132,3042,4102,8321,8001385,12153,8420,11352,1,2,3,3,2,,8183,8183,8321,8420,,,,,,,,,,,,,,,
Sikuku Destroyer,12125,12061,12059,12060,12049,12050,12038,12008,12015,,,10026,10032,12161,12163,12162,3072,4132,2042,5102,12152,11352,12282,8001386,1,2,3,3,,11390,,,,8151,8250,8051,12282,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
